dst_x	dst_y
1.30199	5.08447
1.32192	5.06937
1.34184	5.05427
1.36176	5.03916
1.38169	5.02406
1.40161	5.00896
1.42153	4.99386
1.44146	4.97876
1.46138	4.96366
1.4813	4.94855
1.50123	4.93345
1.52115	4.91835
1.54107	4.90325
1.561	4.88815
1.58092	4.87305
1.60084	4.85794
1.62077	4.84284
1.64069	4.82774
1.66061	4.81264
1.68054	4.79754
1.70046	4.78244
1.72038	4.76733
1.74031	4.75223
1.76023	4.73713
1.78015	4.72203
1.80008	4.70693
1.82	4.69183
1.83992	4.67672
1.85985	4.66162
1.87977	4.64652
1.89969	4.63142
1.91962	4.61632
1.93954	4.60122
1.95946	4.58611
1.97939	4.57101
1.99931	4.55591
2.01923	4.54081
2.03916	4.52571
2.05908	4.51061
2.079	4.4955
2.09893	4.4804
2.11885	4.4653
2.13878	4.4502
2.1587	4.4351
2.17862	4.42
2.19855	4.40489
2.21847	4.38979
2.23839	4.37469
2.25832	4.35959
2.27824	4.34449
2.29816	4.32938
2.31809	4.31428
2.33801	4.29918
2.35793	4.28408
2.37786	4.26898
2.39778	4.25388
2.4177	4.23877
2.43763	4.22367
2.45755	4.20857
2.47747	4.19347
2.4974	4.17837
2.51732	4.16327
2.53725	4.14816
2.55717	4.13306
2.57709	4.11796
2.59702	4.10286
2.61694	4.08776
2.63686	4.07266
2.65679	4.05755
2.67671	4.04245
2.69663	4.02735
2.71656	4.01225
2.73648	3.99715
2.7564	3.98205
2.77633	3.96694
2.79625	3.95184
2.81617	3.93674
2.8361	3.92164
2.85602	3.90654
2.87594	3.89144
2.89587	3.87633
2.91579	3.86123
2.93571	3.84613
2.95564	3.83103
2.97556	3.81593
2.99548	3.80083
3.01541	3.78572
3.03533	3.77062
3.05525	3.75552
3.07518	3.74042
3.0951	3.72532
3.11502	3.71022
3.13495	3.69512
3.15487	3.68001
3.17479	3.66491
3.19472	3.64981
3.21464	3.63471
3.23456	3.61961
3.25449	3.60451
3.27441	3.5894
3.29433	3.5743
3.31426	3.5592
3.33418	3.5441
3.3541	3.529
3.37403	3.5139
3.39395	3.49879
3.41387	3.48369
3.4338	3.46859
3.45372	3.45349
3.47364	3.43839
3.49357	3.42329
3.51349	3.40818
3.53341	3.39308
3.55334	3.37798
